Week,Team,Points,Wins,Percent,Rank
1,Scott,1866,11.5,88.3,1
1,Barrett,1751.3,10.7,85.6,2
1,Josh,1801.8,10.5,84.8,3
1,Justin,1660.3,9.4,73.9,4
1,Diaz,1660.4,8.3,46,5
1,Bobby,1617.8,7.5,17.2,6
1,German,1474.1,1.8,1.6,7
1,PFinn,1556.8,3.7,1.0999999999999999,8
1,Eric,1561.2,3.6,0.8999999999999999,9
1,David,1554.6,3,0.6,10
2,Josh,2001.1,11.2,91.10000000000001,1
2,Diaz,1787.9,9.7,80.30000000000001,2
2,Barrett,1686.2,8.6,57.3,3
2,Bobby,1687.2,7.9,45.4,4
2,David,1698.4,7.6,45.1,5
2,Scott,1675.5,7.2,40.400000000000006,6
2,Justin,1613.2,7.1,21.5,7
2,PFinn,1631.7,6.4,17.9,8
2,German,1474.8,1.8,0.7000000000000001,9
2,Eric,1522.5,2.4,0.3,10
